video_id,skill_id,title,traditional_relevance,depth,clarity,practical_examples_count,instructional_language
xd0A6xmgYbs,numpy_array_manipulation,Python Lecture 19: Operations on NumPy Arrays,1,2,3,0,5
oud3Jd1FJ7c,numpy_array_manipulation,[40] Intro to NumPy Array Operations (Meenal Jhajharia),4,3,3,2,4
CGCPOhwtZEs,numpy_array_manipulation,Python NumPy Tutorial | Basic Array Operations | Numpy Array | Numerical Operations in Numpy,3,3,3,1,5
A8nAVCM_BWo,numpy_array_manipulation,Array Operations using Numpy - Hands on | Python Hub,3,2,2,0,2
bDhvCp3_lYw,pandas_data_cleaning,Data Cleaning in Pandas | Python Pandas Tutorials,3,3,3,0,5
5eYTaYHzoEE,pandas_data_cleaning,Unknown,1,1,1,0,1
iaZQF8SLHJs,pandas_data_cleaning,Real World Data Cleaning in Python Pandas (Step By Step),2,3,3,0,5
MDaMmWBI-S8,pandas_data_cleaning,Step-by-Step Data Cleaning with Python | Python Pandas Tutorial,4,3,3,3,5
qxpKCBV60U4,pandas_data_cleaning,How to Do Data Cleaning (step-by-step tutorial on real-life dataset),2,3,3,0,5
Ck0QgwiCEIs,pandas_data_cleaning,Data cleaning in Pandas is easy! 🧹,3,2,5,0,5
KdmPHEnPJPs,pandas_data_cleaning,Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values,3,3,3,0,5
jFIiTR4PKpQ,pandas_data_cleaning,Unknown,1,1,1,0,1
2uvysYbKdjM,pandas_data_cleaning,Complete Python Pandas Data Science Tutorial! (2025 Updated Edition),4,4,3,3,5
aegyF26ppP4,pandas_data_cleaning,Unknown,1,1,1,0,1
WpX2F2BS3Qc,pandas_data_cleaning,What is Data Cleaning? | Data Fundamentals for Beginners,1,2,3,0,5
Mdq1WWSdUtw,pandas_data_cleaning,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",4,3,3,4,5
mkYBJwX_dMs,pandas_data_cleaning,Learn how to use PANDAS in Python in 15 minutes - with 10 real examples,1,2,3,0,5
xi0vhXFPegw,pandas_data_cleaning,Exploratory Data Analysis with Pandas Python,4,3,5,0,5
GjAkPirfHBA,pandas_data_cleaning,Starting to Clean Data With Pandas,2,3,3,1,3
cAap5kVnpLM,pandas_data_cleaning,Unknown,1,1,1,0,1
OEzg2WwlDcg,pandas_data_cleaning,21. How to clean the data in Pandas | Complete Python Pandas Tutorial for Data Science | Amit Thinks,2,2,2,1,5
aehDav2peFU,pandas_data_cleaning,Unknown,1,1,1,0,1
ZX8vmcSTCrc,pandas_data_cleaning,Data Cleaning with Python (Full Course) | Step-by-Step Guide for Data Analyst & Data Science,4,4,5,1,5
hnGuedS-Rss,pandas_data_cleaning,Top techniques to clean data with Pandas [ Beginner-Friendly Python Tutorial ],4,3,3,1,5
I7DZP4rVQOU,pandas_data_cleaning,Data Cleaning with Python Pandas: Hands-On Tutorial with Real World Data,2,3,3,0,5
Vbe2GaWGKgk,pandas_data_cleaning,Data Cleaning with Python & Pandas | Complete Tutorial | Data Science Project for Beginners,3,2,5,1,5
GNgutUElOTk,pandas_data_cleaning,Python Pros Won’t Like This… But It’s Faster for Data Cleaning (Real Project),2,3,3,0,4
7qcfWbIOyPI,pandas_data_cleaning,Pandas Data Cleaning Tutorial (Step-by-Step) | Python for Data Analysis 2 | Python Pandas Tutorial,4,3,5,3,5
VqYQCm1ZyRY,pandas_data_cleaning,Data Cleaning(Beginner - Advanced): Practical Projects | Python Pandas Tutorial | Real World Dataset,4,3,5,2,5
b0oTpOq27o4,pandas_data_cleaning,Part 02 - Python Quick Tutorial - Pandas and Data preprocessing,3,3,3,0,4
tRKeLrwfUgU,pandas_data_cleaning,Pandas for Data Science in 20 Minutes | Python Crash Course,3,2,3,2,5
L3xcimk8GpM,pandas_data_cleaning,Pandas Techniques for Data Cleaning and Preprocessing | Python Libraries for Data Science #pandas,2,3,3,3,5
3lcJl4hhW9c,pandas_data_cleaning,2.2 Data Preprocessing (with Pandas),2,3,3,0,5
EeWMidT9JMs,pandas_data_cleaning,6. Data Cleaning and Preprocessing in Pandas (Quick Quiz Included!),3,3,5,1,5
ARMdSL4WI88,pandas_data_cleaning,Data Preprocessing & Feature Engineering Simplified: Pandas & Numpy Techniques You Need to Know!,2,2,2,0,5
LdeP61l_nQA,pandas_data_cleaning,Basic pandas data preprocessing - Raw coding practical,1,3,3,1,5
w_CMEOtz8uQ,pandas_data_cleaning,Machine Learning: Preprocessing of data using Python Pandas,1,1,1,0,1
QbOE-LCY4Hs,pandas_data_cleaning,#41. Pandas Data Cleaning Operations | Python Data Preprocessing Tutorial | AI and ML Full Course,1,1,1,0,1
EaGbS7eWSs0,pandas_data_cleaning,"Python Pandas Tutorial 5: Handle Missing Data: fillna, dropna, interpolate",1,3,2,0,5
TQ1g6wZkYI4,pandas_data_cleaning,Pandas Power - Mastering Data Cleaning and Preprocessing | Python for Data Analytics,3,1,3,0,2
MsoCTcaLbZY,pandas_data_cleaning,#40. Pandas Data Cleaning | Python Data Preprocessing Tutorial | AI and ML Full Course for Beginners,1,1,1,0,1
uDr67HBIPz8,pandas_data_cleaning,Handling Missing Values in Pandas Dataframe | GeeksforGeeks,1,1,1,0,1
wUuILD-3VJU,pandas_data_cleaning,Python Pandas Filter Missing data Tutorial-11,3,3,3,0,5
AbBZYHNYFaY,pandas_data_cleaning,How to Detect and Fill Missing Values in Pandas (Python),1,1,1,0,1
YxZ0D_PRN2w,pandas_data_cleaning,Missing Data Imputation in Pandas | #40 of 53: The Complete Pandas Course,1,2,3,1,5
fCMrO_VzeL8,pandas_data_cleaning,How do I handle missing values in pandas?,3,2,2,0,5
Z_SQ6nj1pvs,pandas_data_cleaning,Pandas Missing Values | Python Pandas Tutorial For Beginners,1,2,3,0,5
E1_pHKOfUxA,pandas_data_cleaning,Handling Missing Data (Data Cleaning) - Pandas | Python ~ Episode 6,3,3,3,0,5
csG53mxVdk8,pandas_data_cleaning,How to detect replace and remove missing data using Pandas Python library,1,3,3,3,5
nQ8mx4zN6SM,pandas_data_cleaning,When Should You Use Pandas Notna() For Missing Data? - Python Code School,3,1,4,0,5
XOxABiMhG2U,pandas_data_cleaning,Python Pandas Tutorial 6. Handle Missing Data: replace function,1,3,3,0,5
QVJY4qJ5-YE,pandas_data_cleaning,Python Pandas Tutorial - Handling Missing Data Using Pandas,2,3,3,2,5
LXMLq-bke5w,pandas_data_cleaning,Data Cleaning using Pandas (Part 1): Handling Missing Values,2,2,2,0,5
u8N5B-nXhKc,pandas_data_cleaning,How to Deal With Missing Data In Python Pandas (20+ Examples!),3,3,5,0,5
LAh3cagKZ6E,pandas_data_cleaning,Unknown,1,1,1,0,1
p51jngaf0g4,pandas_data_cleaning,Find missing values in data with Pandas | Beginner tutorial,2,3,3,0,5
TSzJUF-Prbg,pandas_data_cleaning,Unknown,1,1,1,0,1
IVZYSLzZHs0,pandas_data_cleaning,Unknown,1,1,1,0,1
yvgVHk9ntKQ,pandas_data_cleaning,What Are Python Pandas Methods For Missing Data? - Python Code School,2,1,4,0,4
vSyymtg_BVw,pandas_data_cleaning,Data Wrangling with Python and Pandas,4,3,5,2,5
DkjCaAMBGWM,pandas_data_cleaning,Learning Pandas for Data Analysis? Start Here.,2,3,3,0,4
DXNBYtpwB_g,pandas_data_cleaning,3 top tips for pandas data wrangling,1,2,3,0,4
RFMXrKK15xo,pandas_data_cleaning,Data Wrangling and Intro to pandas - Part 1 - Strata Hadoop World San Jose 2016,4,3,3,0,4
q5zEmfzzWbQ,pandas_data_cleaning,Data Wrangling Explained in 2 Minutes! 📊,2,1,3,0,2
6rDqwji7eMc,pandas_data_cleaning,Data Wrangling with Python and Pandas - Workshop,4,3,3,7,5
REdEQdmvMa0,pandas_data_cleaning,Data Wrangling with Pandas Part 2 - The Return of the Wrangle,4,3,3,1,5
LSH1tkTmCvM,pandas_data_cleaning,Kung Fu Data Wrangling in Python with Pandas,4,3,3,1,5
gtjxAH8uaP0,pandas_data_cleaning,Pandas & Python for Data Analysis by Example – Full Course for Beginners,4,3,5,2,5
dMq7fnKU-Z4,pandas_data_cleaning,Data Wrangling with Python and Pandas LIVE,4,3,3,0,4
U_xMLEnGivg,pandas_data_cleaning,Unknown,1,1,1,0,1
_Eb0utIRdkw,pandas_data_cleaning,A Gentle Introduction to Pandas Data Analysis (on Kaggle),4,3,3,0,5
w2cx9BEiq1U,pandas_data_cleaning,Data Wrangling and Manipulation with Python,3,3,3,2,5
m6ucljvcn9c,pandas_data_cleaning,Data Wrangling and Intro to pandas - Part 2 - Strata Hadoop World San Jose 2016,1,3,3,0,4
OZOOLe2imFo,matplotlib_visualization,Matplotlib Full Python Course - Data Science Fundamentals,5,3,3,5,5
D4VlmL3G4_o,matplotlib_visualization,HOW TO USE Matplotlib in 4 MINUTES (2020 Python Tutorial),4,2,3,0,5
wB9C0Mz9gSo,matplotlib_visualization,Matplotlib Tutorial : Matplotlib Full Course,5,3,3,2,3
UO98lJQ3QGI,matplotlib_visualization,Matplotlib Tutorial (Part 1): Creating and Customizing Our First Plots,5,3,3,0,5
3Xc3CA655Y4,matplotlib_visualization,Matplotlib Crash Course,4,3,3,2,5
c9vhHUGdav0,matplotlib_visualization,Learn Matplotlib in 1 hour! 📊,4,3,5,6,5
qErBw-R2Ybk,matplotlib_visualization,Python - Matplotlib Tutorial for Beginners,4,3,3,0,5
cTJBJH8hacc,matplotlib_visualization,"Matplotlib Tutorial: For Physicists, Engineers, and Mathematicians",2,3,3,4,5
DAQNHzOcO5A,matplotlib_visualization,"Intro to Data Visualization in Python with Matplotlib! (line graph, bar chart, title, labels, size)",4,3,3,2,5
xXibS9832FM,matplotlib_visualization,Matplotlib Python Full Course 2025| Matplotlib in One Hour-Data Visualization Tutorial | Intellipaat,1,1,1,0,1
nzKy9GY12yo,matplotlib_visualization,Learn Matplotlib in 6 minutes | Matplotlib Python Tutorial,1,1,1,0,1
0P7QnIQDBJY,matplotlib_visualization,"Python Plotting Tutorial w/ Matplotlib & Pandas (Line Graph, Histogram, Pie Chart, Box & Whiskers)",4,3,3,0,5
a9UrKTVEeZA,matplotlib_visualization,"Intro to Data Analysis / Visualization with Python, Matplotlib and Pandas | Matplotlib Tutorial",4,3,3,0,4
SyeQhJF4ny0,matplotlib_visualization,Matplotlib in One Hour | Learn to visualise data like a pro | Crash Course | Machine Learning,4,3,3,3,5
qqwf4Vuj8oM,matplotlib_visualization,Matplotlib Tutorial 1 - Introduction and Installation,4,2,2,0,5
2KY5AaFvWtE,matplotlib_visualization,Start using Matplotlib in 7 minutes! 📊,4,2,5,1,5
gvn8RIG38CM,matplotlib_visualization,Learn Data Visualization with Matplotlib in Python: A Beginner’s Guide,4,3,3,0,5
DFBkTIhptOQ,matplotlib_visualization,Python Matplotlib Tutorial for Beginners | Learn in 2 hours | Data Science & Analysis | Amit Thinks,5,3,3,9,5
yZTBMMdPOww,matplotlib_visualization,Python Matplotlib Tutorial | Matplotlib Tutorial | Python Tutorial | Python Training | Edureka,4,3,5,3,5
q7Bo_J8x_dw,matplotlib_visualization,Matplotlib Tutorial 1 - Introduction and Line,4,2,3,0,5
2mCIcm8xau0,matplotlib_visualization,Python Tutorial: Introduction to data visualization with Matplotlib,2,2,3,0,5
czQO1_GEEos,matplotlib_visualization,Tutorial 8- Matplotlib (Simple Visualization Library),1,1,1,0,1
4O_o53ag3ag,matplotlib_visualization,7 Python Data Visualization Libraries in 15 minutes,5,3,3,0,3
l3uEbSXE6cY,matplotlib_visualization,Unknown,1,1,1,0,1
jNiQaErXg8s,matplotlib_visualization,Top 5 Python Libraries for Data Visualization,4,2,3,0,3
UZDP9IPMqcs,matplotlib_visualization,"Comprehensive Guide on MATPLOTLIB, SEABORN & PLOTLY | Python Data Analysis",4,3,3,0,5
hkU4_fyZo40,matplotlib_visualization,Matplotlib Interview Questions | Python Data Visualization Complete Guide for Job Success,3,2,3,1,2
MbKrSmoMads,matplotlib_visualization,Python: Intro to Visualization with Matplotlib,4,3,3,0,4
ehlmVfPACFc,matplotlib_visualization,Unknown,1,1,1,0,1
09ja09E9ThE,matplotlib_visualization,Unknown,1,1,1,0,1
50SGBO3Psqk,matplotlib_visualization,"Matplotlib Tutorial for Beginners: Line Charts, Scatter Plots & BoxPlots | Python Data Visualization",3,3,5,1,5
SIlLbTon6V0,matplotlib_visualization,Create Time Series Animations in Python with Matplotlib! (Line Graphs),2,3,3,0,5
X69y9N65Iu8,matplotlib_visualization,Python Tutorial for Beginners #13 - Plotting Graphs in Python (matplotlib),4,3,5,0,5
ugBTczoyFRo,matplotlib_visualization,Unknown,1,1,1,0,1
aegyF26ppP4,matplotlib_visualization,Unknown,1,1,1,0,1
Ercd-Ip5PfQ,matplotlib_visualization,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,1,3,3,3,5
0QLJduh1MNM,matplotlib_visualization,MatPlotLib Python Tutorial in Jupyter Notebooks - Part 1,4,3,3,0,5
zNhq_oCTPcM,matplotlib_visualization,Matplotlib Tutorial #11: Object-Oriented Interface (figure and axes),4,2,2,1,5
FN78JowwpSY,matplotlib_visualization,Data Visualization using Matplotlib and Seaborn | Data Visualization in Python | Python Tutorial,4,3,3,4,4
4qq7W4_V5pI,matplotlib_visualization,Unknown,1,1,1,0,1
pgU1vYKeoaE,matplotlib_visualization,Unknown,1,1,1,0,1
8Hnvd_cjKIw,matplotlib_visualization,Data Visualization using Matplotlib,4,3,5,0,5
4uHye1tSQP8,matplotlib_visualization,Complete Python Data Visualization Project Walkthrough with matplotlib and pandas,4,3,5,1,5
-jTD74eEy2I,matplotlib_visualization,Complete Data Visualization Course for Beginners |  Matplotlib & Seaborn | Sheryians AI School,1,1,1,0,1
uF0BAYfyqFo,matplotlib_visualization,Learn Matplotlib in 1 hour - Data Visualization in Python,4,3,3,1,5
r-uOLxNrNk8,matplotlib_visualization,"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",5,3,5,4,5
0B5eIE_1vpU,sklearn_model_training,Scikit-learn Crash Course - Machine Learning Library for Python,5,4,3,12,5
SW0YGA9d8y8,sklearn_model_training,Python Machine Learning for Dummies: Scikit-Learn Tutorial for Beginners,4,3,3,7,5
-IvNzmrcyUM,sklearn_model_training,Simple Machine Learning Code Tutorial for Beginners with Sklearn Scikit-Learn,4,3,5,3,5
SIEaLBXr0rk,sklearn_model_training,Scikit-Learn Full Crash Course - Python Machine Learning,5,3,5,8,5
M9Itm95JzL0,sklearn_model_training,"Real-World Python Machine Learning Tutorial w/ Scikit Learn (sklearn basics, NLP, classifiers, etc)",4,3,3,6,5
pqNCD_5r0IU,sklearn_model_training,Scikit-Learn Course - Machine Learning in Python Tutorial,1,1,1,0,1
B5VFg5l6rRs,sklearn_model_training,Learn Scikit-Learn Now! Beginner Tutorial,4,3,3,1,5
7z8-QWlbmoo,sklearn_model_training,What Is Scikit-Learn | Introduction To Scikit-Learn | Machine Learning Tutorial | Intellipaat,3,3,3,1,4
RiEpSd4j0vE,sklearn_model_training,Scikit Learn Tutorial | Scikit-Learn Workflow | Data Preprocessing In Machine Learning | Intellipaat,5,3,3,4,5
0Lt9w-BxKFQ,sklearn_model_training,Scikit-Learn Tutorial | Machine Learning With Scikit-Learn | Sklearn | Python Tutorial | Simplilearn,4,3,3,1,5
t3ecaDij_pU,sklearn_model_training,"Scikit-Learn - 30 minutes, 30 commands, 80% of work done ! 🔥🔥🔥",5,3,3,5,5
bwZ3Qiuj3i8,sklearn_model_training,Scikit Learn Tutorial | Machine Learning with Python | Python for Data Science Training | Edureka,4,3,3,3,4
ccukQiz2X5o,sklearn_model_training,Scikit Learn Tutorial | Machine Learning with Python | Python for Data Science Training | Edureka,4,3,3,4,3
DSI5bcxeBvc,sklearn_model_training,Unknown,1,1,1,0,1
TpmDITl8Qwk,sklearn_model_training,Unknown,1,1,1,0,1
xIqX1dqcNbY,sklearn_model_training,Scikit-Learn Model Pipeline Tutorial,4,3,3,2,5
oFa8NvTLkKE,sklearn_model_training,Introduction to Scikit learn in 6 minutes | Free Course | TimesPro,4,2,2,0,5
hDKCxebp88A,sklearn_model_training,Machine Learning with Python and Scikit-Learn – Full Course,5,3,5,20,5
SjOfbbfI2qY,sklearn_model_training,Train Test Split with Python Machine Learning (Scikit-Learn),3,2,3,0,4
0tv6ehKCZJQ,sklearn_model_training,Scikit-Learn Tutorial 01 - Introduction and Jupyter Notebooks,1,3,3,0,5
777Qb0gHuJU,sklearn_model_training,Machine Learning Pipelines in Python: Step-by-Step Guide with Scikit-Learn,4,3,3,3,4
_QuGM_FW9eo,sklearn_model_training,Random Forest Algorithm Explained with Python and scikit-learn,4,3,3,1,5
qNxrPri1V0I,sklearn_model_training,Learn Machine Learning Like a GENIUS and Not Waste Time,3,3,2,0,3
aL21Y-u0SRs,sklearn_model_training,Hands-On Machine Learning: Logistic Regression with Python and Scikit-Learn,4,3,3,1,5
CVszSgTWODE,sklearn_model_training,Linear Regression with Python | Sklearn Machine Learning Tutorial,4,3,5,6,5
RlQuVL6-qe8,sklearn_model_training,Training a machine learning model with scikit-learn,2,3,3,2,5
-8s9KuNo5SA,sklearn_model_training,Complete Guide to Cross Validation,4,3,3,3,5
29ZQ3TDGgRQ,sklearn_model_training,Build your first machine learning model in Python,5,3,3,2,4
BotYLBQfd5M,sklearn_model_training,"Difference Between fit(), transform(), fit_transform() and predict() methods in Scikit-Learn",1,1,1,0,1
XmSlFPDjKdc,sklearn_model_training,Machine Learning in Python: Building a Classification Model,4,3,3,6,3
ib7-rrG4gIA,sklearn_model_training,93 Choosing The Right Model For Your Data 3 Classification | Scikit-learn Machine Learning Models,4,2,3,1,5
ETChs4iQa8g,sklearn_model_training,Classification in Machine Learning | Machine Learning with Scikit Learn | Intellipaat,4,3,3,6,4
QSoEWNJg3B4,sklearn_model_training,Unknown,1,1,1,0,1
8zrnT1693_4,sklearn_model_training,Machine Learning for Beginners: scikit-learn Image Classification Tutorial,5,3,3,3,4
tJ2SlPcYdc0,sklearn_model_training,How to evaluate ScikitLearn classification model results,3,2,3,1,4
acXmk4Bx8pI,sklearn_model_training,03. Python for machine learning scikit learning: classification clustering with scikit-learn,1,1,1,0,1
il8dMDlXrIE,sklearn_model_training,Image classification with Python and Scikit learn | Computer vision tutorial,4,3,3,2,5
MSAw7Q-ffsY,sklearn_model_training,Scikit-Learn: Binary Classification with Logistic Regression,4,2,3,3,3
85dtiMz9tSo,sklearn_model_training,How to evaluate a classifier in scikit-learn,4,3,3,11,5
QVuSQJBSEGM,sklearn_model_training,Intro to Scikit-learn library for Classification in Python and Classification Boundary Visualization,5,3,3,10,5
6rpz0NSErSQ,sklearn_model_training,Text Classification with Python | Natural Language Processing Course Part 5| Scikit Learn / sklearn,5,2,3,1,5
RJs-KNrwYKY,sklearn_model_training,Cancer Cell Classification Using Scikit-Learn,4,2,3,1,5
XWx8sjTkiuQ,sklearn_model_training,CLASSIFICATION REPORT with Scikit-Learn (Python) - sklearn.metrics.classification_report,1,2,2,2,5
lzXKsY3bANw,sklearn_model_training,Image Classification with scikit-learn,1,2,3,0,5
57duf16I74c,sklearn_model_training,Logistic Regression Tutorial Python Sklearn,4,2,3,0,5
ukZn2RJb7TU,sklearn_model_training,Hands-On Linear Regression with Scikit-Learn in Python (Beginner Friendly),4,3,3,0,5
8jazNUpO3lQ,sklearn_model_training,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,3,3,5,0,5
R15LjD8aCzc,sklearn_model_training,Machine Learning in Python: Building a Linear Regression Model,4,3,3,1,4
b0L47BeklTE,sklearn_model_training,Linear Regression Python Sklearn [FROM SCRATCH],4,2,5,0,5
aV_sRopNTrw,sklearn_model_training,Intro To Linear Regression Models - Pandas For Machine Learning 26,4,2,3,0,5
9crcSlhReas,sklearn_model_training,Unknown,1,1,1,0,1
S-50vbGGaME,sklearn_model_training,Logistic Regression tutorial | Introduction to machine learning with Python sklearn,4,2,3,2,5
feDJkDaNuOk,sklearn_model_training,Simple Linear Regression in Python - sklearn,5,2,2,0,5
icCKg7LIYF0,sklearn_model_training,Simple Linear regression using python sklearn & statsmodels for Beginners,1,3,3,0,5
3Q6gzUPecLE,sklearn_model_training,Linear Regression -  Machine Learning using Python and Scikit Learn tutorial Chapter 6 1,3,2,2,1,5
1nv-geRSeqk,sklearn_model_training,Machine Learning - Scikit Learn Logistic Regression tutorial #1,4,2,2,0,5
X2fM06o-9Pc,sklearn_model_training,Machine Learning - Scikit Learn Logistic Regression tutorial #2,4,2,3,2,5
VqKq78PVO9g,sklearn_model_training,"Machine Learning Tutorial Python - 17: L1 and L2 Regularization | Lasso, Ridge Regression",4,2,4,0,5
N6l46rYSCpM,sklearn_model_training,Complete Logistic Regression Classifier with Python Code || Machine Learning using Scikit-learn,4,4,2,13,4
hS2IZOX1rmI,sklearn_model_training,Unknown,1,1,1,0,1
ZF4snBjonEo,sklearn_model_training,"Anaconda Setup, Environment Creation, and Linear Regression with SkLearn Tutorial",2,2,3,0,5
JHWqWIoac2I,pytorch_neural_networks,Create a Basic Neural Network Model - Deep Learning with PyTorch 5,3,3,3,2,5
ORMx45xqWkA,pytorch_neural_networks,PyTorch in 100 Seconds,4,2,3,0,5
tHL5STNJKag,pytorch_neural_networks,Build Your First Pytorch Model In Minutes! [Tutorial + Code],4,2,3,4,5
mozBidd58VQ,pytorch_neural_networks,Building a Neural Network with PyTorch in 15 Minutes | Coding Challenge,4,3,3,3,4
FHdlXe1bSe4,pytorch_neural_networks,The StatQuest Introduction to PyTorch,2,3,3,4,5
V_xro1bcAuA,pytorch_neural_networks,PyTorch for Deep Learning & Machine Learning – Full Course,5,3,5,20,5
_fZwxh2aro8,pytorch_neural_networks,Let me explain PyTorch in 7 Concepts,4,3,5,4,4
IFsVsXAqPto,pytorch_neural_networks,"Deep Learning with PyTorch Full Course | Master PyTorch, Tensors, and Neural Networks",5,4,5,15,5
r1bquDz5GGA,pytorch_neural_networks,PyTorch in 1 Hour,4,3,5,5,4
fJ40w_2h8kk,pytorch_neural_networks,What is PyTorch? (Machine/Deep Learning),3,2,5,0,5
